|      | game_id                                                             |   num_soundtracks |
|  310 | dragons-earth                                                       |                14 |
|  311 | dragons-lair                                                        |                 8 |
|  312 | drakkhen                                                            |                33 |
|  313 | dream-basketball-dunk-hoop                                          |                 6 |
|  314 | dream-tv                                                            |                 5 |
|  315 | drift-king-shutokou-battle-2                                        |                 3 |
|  316 | dual-orb-ii                                                         |                31 |
|  317 | dual-orb-seireiju-densetsu                                          |                28 |
|  318 | dun-quest-majin-fuuin-no-densetsu                                   |                 8 |
|  319 | dungeon-master                                                      |                 7 |
|  320 | dynamitracer                                                        |                 5 |
|  321 | earth-defense-force                                                 |                16 |
|  322 | earth-light                                                         |                15 |
|  323 | earth-light-luna-strike                                             |                 4 |
|  324 | earthworm-jim                                                       |                13 |
|  325 | earthworm-jim-2                                                     |                11 |
|  326 | edo-no-kiba                                                         |                11 |
|  327 | eek-the-cat                                                         |                 4 |
|  328 | eien-no-filena                                                      |                31 |
|  329 | elfaria-a-fantastic-theater                                         |                10 |
|  330 | elfaria-ii-the-quest-of-the-meld                                    |                35 |
|  331 | elite-soccer                                                        |                 6 |
|  332 | emerald-dragon                                                      |                 7 |
|  333 | emmitt-smith-football                                               |                 3 |
|  334 | energy-breaker                                                      |                 8 |
|  335 | equinox                                                             |                12 |
|  336 | esparks-ijikuu-kara-no-raihousha                                    |                 3 |
|  337 | espn-baseball-tonight                                               |                 3 |
|  338 | espn-national-hockey-night                                          |                 8 |
|  339 | espn-speed-world                                                    |                 3 |
|  340 | espn-sunday-night-nfl                                               |                 2 |
|  341 | eurit                                                               |                 8 |
|  342 | evo-search-for-eden                                                 |                28 |
|  343 | excitebike-bun-bun-mario-battle-stadium                             |                 2 |
|  344 | extra-innings                                                       |                 6 |
|  345 | f-1-grand-prix                                                      |                11 |
|  346 | f-1-grand-prix-part-ii                                              |                 7 |
|  347 | f-1-grand-prix-part-iii                                             |                11 |
|  348 | f-1-roc-ii-race-of-champions                                        |                 3 |
|  349 | f-1-roc-race-of-champions                                           |                10 |
|  350 | f-zero                                                              |                14 |
|  351 | f1-pole-position                                                    |                11 |
|  352 | f1-pole-position-2                                                  |                 5 |
|  353 | f1-world-championship-edition                                       |                 3 |
|  354 | faceball-2000                                                       |                10 |
|  355 | famicom-tantei-club-2-ushiro-ni-tatsu-shoujo                        |                 1 |
|  356 | family-dog                                                          |                20 |
|  357 | family-feud                                                         |                 5 |
|  358 | farland-story                                                       |                 5 |
|  359 | farland-story-2                                                     |                 6 |
|  360 | fatal-fury                                                          |                13 |
|  361 | fatal-fury-2                                                        |                20 |
|  362 | fatal-fury-special                                                  |                21 |
|  363 | fifa-soccer-96                                                      |                 4 |
|  364 | fifa-soccer-97                                                      |                 5 |
|  365 | fifa-soccer-97-1996                                                 |                 6 |
|  366 | fighters-history                                                    |                14 |
|  367 | fighters-history-mizoguchi-kiki-ippatsu                             |                19 |
|  368 | final-fantasy-iv                                                    |                31 |
|  369 | final-fantasy-mystic-quest-[mystic-quest-legend]                    |                16 |
|  370 | final-fantasy-v                                                     |                29 |
|  371 | final-fantasy-vi                                                    |                32 |
|  372 | final-fight                                                         |                14 |
|  373 | final-fight-2                                                       |                10 |
|  374 | final-stretch                                                       |                 4 |
|  375 | finalset                                                            |                 2 |
|  376 | fire-emblem-monshou-no-nazo                                         |                19 |
|  377 | fire-emblem-seisen-no-keifu                                         |                31 |
|  378 | fire-emblem-thracia-776                                             |                36 |
|  379 | fire-pro-joshi-all-star-dream-slam                                  |                 9 |
|  380 | firearm                                                             |                 1 |
|  381 | firemen-the                                                         |                14 |
|  382 | firepower-2000                                                      |                 9 |
|  383 | firestriker                                                         |                18 |
|  384 | fireteam-rogue                                                      |                15 |
|  385 | first-queen-ornic-senki                                             |                 6 |
|  386 | first-samurai                                                       |                14 |
|  387 | flashback-the-quest-for-identity                                    |                 5 |
|  388 | flintstones-the                                                     |                16 |
