|      | game_id                                                             |   num_soundtracks |
|  389 | flying-hero-bugyuruu-no-daibouken                                   |                14 |
|  390 | football-fury                                                       |                 6 |
|  391 | foreman-for-real                                                    |                 7 |
|  392 | frantic-flea                                                        |                 9 |
|  393 | frognes                                                             |                 1 |
|  394 | front-mission                                                       |                13 |
|  395 | front-mission-gun-hazard                                            |                36 |
|  396 | full-throttle-all-american-racing                                   |                 3 |
|  397 | fun-n-games                                                         |                22 |
|  398 | fushigi-no-dungeon-torneko-no-daibouken                             |                14 |
|  399 | gakkou-de-atta-kowai-hanashi                                        |                 5 |
|  400 | galaxy-wars                                                         |                 2 |
|  401 | gamars-copier                                                       |                 1 |
|  402 | gamble-hourouki                                                     |                 4 |
|  403 | gambler-jiko-chuushinha-2-dorapon-quest                             |                 8 |
|  404 | game-no-tetsujin-the-shanghai                                       |                 2 |
|  405 | gamera-gyaos-gekimetsu-sakusen                                      |                 4 |
|  406 | gan-gan-ganchan                                                     |                 6 |
|  407 | ganbare-daiku-no-gen-san                                            |                15 |
|  408 | ganbare-goemon-2-kiteretsu-shougun-magginesu                        |                48 |
|  409 | ganbare-goemon-3-shishi-juurokubee-no-karakuri-manjigatame          |                56 |
|  410 | ganbare-goemon-4-kirakira-douchuu-boku-ga-dancer-ni-natta-riyuu     |                65 |
|  411 | ganso-pachinko-ou                                                   |                 1 |
|  412 | garry-kitchens-super-battletank-war-in-the-gulf                     |                 3 |
|  413 | gd-leen                                                             |                 3 |
|  414 | gegege-no-kitaro-fukkatsu-tenma-daiou                               |                13 |
|  415 | gekisou-sentai-car-rangers-zenkai-racer-senshi                      |                11 |
|  416 | gekitotsu-dangan-jidousha-kessen-battle-mobile                      |                 9 |
|  417 | gekitou-burning-prowrestling                                        |                 2 |
|  418 | gemfire                                                             |                16 |
|  419 | genghis-khan-ii-clan-of-the-grey-wolf                               |                15 |
|  420 | genjuu-ryodan                                                       |                 4 |
|  421 | genocide-2                                                          |                15 |
|  422 | george-foremans-ko-boxing                                           |                 5 |
|  423 | get-in-the-hole                                                     |                 6 |
|  424 | getsumen-no-anubis                                                  |                18 |
|  425 | ghost-chaser-densei                                                 |                15 |
|  426 | ghost-sweeper-mikami-joreishi-wa-nice-body                          |                16 |
|  427 | ghoul-patrol                                                        |                12 |
|  428 | ginga-eiyuu-densetsu                                                |                 3 |
|  429 | ginga-sengoku-gunyuuden-rai                                         |                 2 |
|  430 | gionbana                                                            |                 5 |
|  431 | go-go-ackman                                                        |                19 |
|  432 | go-go-ackman-2                                                      |                19 |
|  433 | go-go-ackman-3                                                      |                18 |
|  434 | go-go-dodge-league                                                  |                 4 |
|  435 | god-mezameyo-to-yobu-koe-ha-kikoe                                   |                 4 |
|  436 | gods                                                                |                10 |
|  437 | godzilla-kaijuu-daikessen                                           |                16 |
|  438 | gokinjo-bouken-tai                                                  |                45 |
|  439 | gokujou-parodius                                                    |                29 |
